point cloud with 2735 points in dimension 3
distance matrix with 2735 points
value range: [0.0308742,4.19501]
persistence intervals in dim 0:
 [0,0.0308742)
 [0,0.0346509)
 [0,0.0348812)
 [0,0.0355218)
 [0,0.0355772)
 [0,0.0356564)
 [0,0.0361399)
 [0,0.03706)
 [0,0.0375849)
 [0,0.0376453)
 [0,0.0377097)
 [0,0.0378935)
 [0,0.0386582)
 [0,0.0387343)
 [0,0.0388827)
 [0,0.0391298)
 [0,0.0391879)
 [0,0.0395026)
 [0,0.039556)
 [0,0.0398772)
 [0,0.0400867)
 [0,0.0404303)
 [0,0.0404635)
 [0,0.0405495)
 [0,0.0407788)
 [0,0.0416068)
 [0,0.0417505)
 [0,0.0417993)
 [0,0.0419817)
 [0,0.0421325)
 [0,0.0422112)
 [0,0.0422831)
 [0,0.0423538)
 [0,0.0423931)
 [0,0.0425499)
 [0,0.0425827)
 [0,0.0427358)
 [0,0.0427479)
 [0,0.0428428)
 [0,0.0429602)
 [0,0.0429934)
 [0,0.0430761)
 [0,0.0432287)
 [0,0.0432512)
 [0,0.0433366)
 [0,0.0434032)
 [0,0.0434979)
 [0,0.0434996)
 [0,0.0435183)
 [0,0.0435405)
 [0,0.0436591)
 [0,0.0436725)
 [0,0.0439306)
 [0,0.0441196)
 [0,0.0441443)
 [0,0.0441683)
 [0,0.0441761)
 [0,0.0441948)
 [0,0.0442266)
 [0,0.0442593)
 [0,0.0442821)
 [0,0.0443047)
 [0,0.0443123)
 [0,0.0443405)
 [0,0.0444311)
 [0,0.0444351)
 [0,0.0444819)
 [0,0.0445031)
 [0,0.0445487)
 [0,0.0445596)
 [0,0.0446109)
 [0,0.0446904)
 [0,0.0448176)
 [0,0.044874)
 [0,0.044905)
 [0,0.0449955)
 [0,0.04501)
 [0,0.0450605)
 [0,0.0450739)
 [0,0.0451351)
 [0,0.0452025)
 [0,0.0452525)
 [0,0.0453865)
 [0,0.0453963)
 [0,0.0454034)
 [0,0.045424)
 [0,0.0454795)
 [0,0.0455131)
 [0,0.0455405)
 [0,0.0455835)
 [0,0.0456001)
 [0,0.0456705)
 [0,0.0456929)
 [0,0.0457352)
 [0,0.0458073)
 [0,0.0458267)
 [0,0.0458432)
 [0,0.0458944)
 [0,0.0459395)
 [0,0.0459473)
 [0,0.0459959)
 [0,0.0461273)
 [0,0.0461309)
 [0,0.0462384)
 [0,0.0462503)
 [0,0.0462668)
 [0,0.0462985)
 [0,0.0463193)
 [0,0.0463495)
 [0,0.0465478)
 [0,0.0466757)
 [0,0.0466796)
 [0,0.0466836)
 [0,0.0466958)
 [0,0.0467644)
 [0,0.0468282)
 [0,0.0468557)
 [0,0.0468662)
 [0,0.0468688)
 [0,0.0470097)
 [0,0.0470375)
 [0,0.0470621)
 [0,0.0470848)
 [0,0.0471929)
 [0,0.0472482)
 [0,0.047302)
 [0,0.047459)
 [0,0.047572)
 [0,0.0475995)
 [0,0.0476243)
 [0,0.0476856)
 [0,0.0477379)
 [0,0.0477564)
 [0,0.0478306)
 [0,0.0478861)
 [0,0.0479202)
 [0,0.0480559)
 [0,0.0481102)
 [0,0.04812)
 [0,0.0481824)
 [0,0.0484146)
 [0,0.0484444)
 [0,0.0485644)
 [0,0.048575)
 [0,0.0486566)
 [0,0.0486968)
 [0,0.048731)
 [0,0.0487413)
 [0,0.048769)
 [0,0.0487791)
 [0,0.0487796)
 [0,0.0487825)
 [0,0.0488101)
 [0,0.0488398)
 [0,0.0488664)
 [0,0.0489273)
 [0,0.0489528)
 [0,0.0490403)
 [0,0.0490678)
 [0,0.0490813)
 [0,0.0491689)
 [0,0.0491932)
 [0,0.0492515)
 [0,0.0493805)
 [0,0.0494488)
 [0,0.0494581)
 [0,0.0495103)
 [0,0.049551)
 [0,0.0495747)
 [0,0.0495756)
 [0,0.0496108)
 [0,0.0496865)
 [0,0.0497937)
 [0,0.0498108)
 [0,0.049831)
 [0,0.0498442)
 [0,0.0500966)
 [0,0.0501427)
 [0,0.0501728)
 [0,0.0502188)
 [0,0.0502513)
 [0,0.0502973)
 [0,0.0503577)
 [0,0.0503804)
 [0,0.0503853)
 [0,0.0505669)
 [0,0.0506505)
 [0,0.0506672)
 [0,0.0507343)
 [0,0.0507447)
 [0,0.0507642)
 [0,0.0507733)
 [0,0.0508059)
 [0,0.0509845)
 [0,0.0511248)
 [0,0.0511403)
 [0,0.0511486)
 [0,0.0511696)
 [0,0.0511978)
 [0,0.0512822)
 [0,0.0512922)
 [0,0.0513264)
 [0,0.0513292)
 [0,0.0513425)
 [0,0.0513598)
 [0,0.0513788)
 [0,0.0514227)
 [0,0.0514539)
 [0,0.0514808)
 [0,0.0515287)
 [0,0.0515578)
 [0,0.0515643)
 [0,0.0515706)
 [0,0.0515839)
 [0,0.0516139)
 [0,0.0516449)
 [0,0.0516871)
 [0,0.0518537)
 [0,0.0518634)
 [0,0.0518664)
 [0,0.0518741)
 [0,0.0519653)
 [0,0.0519759)
 [0,0.052048)
 [0,0.0521045)
 [0,0.0521393)
 [0,0.0522209)
 [0,0.0522934)
 [0,0.0523178)
 [0,0.0523318)
 [0,0.0523886)
 [0,0.052395)
 [0,0.0525092)
 [0,0.0525493)
 [0,0.0525657)
 [0,0.0526092)
 [0,0.0526837)
 [0,0.0526997)
 [0,0.0527164)
 [0,0.0527963)
 [0,0.0527973)
 [0,0.0528138)
 [0,0.0528164)
 [0,0.0528252)
 [0,0.0528629)
 [0,0.0528812)
 [0,0.0529254)
 [0,0.0529573)
 [0,0.0530413)
 [0,0.0530603)
 [0,0.0530784)
 [0,0.0531934)
 [0,0.0532417)
 [0,0.0533129)
 [0,0.0533266)
 [0,0.0534014)
 [0,0.0534269)
 [0,0.0534773)
 [0,0.0535467)
 [0,0.0535468)
 [0,0.0535517)
 [0,0.053562)
 [0,0.0536569)
 [0,0.0536976)
 [0,0.0538211)
 [0,0.053894)
 [0,0.0539192)
 [0,0.0539469)
 [0,0.0539714)
 [0,0.0540123)
 [0,0.0541417)
 [0,0.0541601)
 [0,0.0541664)
 [0,0.0541812)
 [0,0.0541859)
 [0,0.0542015)
 [0,0.0542219)
 [0,0.0543597)
 [0,0.0543691)
 [0,0.0544029)
 [0,0.0545039)
 [0,0.054555)
 [0,0.0545757)
 [0,0.054583)
 [0,0.0546266)
 [0,0.0546341)
 [0,0.0546359)
 [0,0.054672)
 [0,0.0547086)
 [0,0.0547224)
 [0,0.0547329)
 [0,0.0547456)
 [0,0.054799)
 [0,0.0548236)
 [0,0.0548653)
 [0,0.0549086)
 [0,0.0549371)
 [0,0.0549469)
 [0,0.0550333)
