point cloud with 13904 points in dimension 3
distance matrix with 13904 points
value range: [0.00183932,8.49817]
persistence intervals in dim 0:
 [0,0.00183932)
 [0,0.00219467)
 [0,0.002718)
 [0,0.00286869)
 [0,0.00292564)
 [0,0.00296855)
 [0,0.00315226)
 [0,0.00331263)
 [0,0.00338033)
 [0,0.00343915)
 [0,0.00350127)
 [0,0.00370569)
 [0,0.00392172)
 [0,0.00403329)
 [0,0.00413036)
 [0,0.00419718)
 [0,0.00433512)
 [0,0.00441109)
 [0,0.00441249)
 [0,0.00460841)
 [0,0.00474349)
 [0,0.00497899)
 [0,0.00498234)
 [0,0.00501313)
 [0,0.00514533)
 [0,0.0051774)
 [0,0.00544643)
 [0,0.00544719)
 [0,0.00545718)
 [0,0.0054994)
 [0,0.00558353)
 [0,0.00560641)
 [0,0.00563748)
 [0,0.00578547)
 [0,0.00581762)
 [0,0.00590566)
 [0,0.00601055)
 [0,0.00604112)
 [0,0.00614847)
 [0,0.0061626)
 [0,0.00622913)
 [0,0.0062308)
 [0,0.00623794)
 [0,0.00627526)
 [0,0.00628851)
 [0,0.00634725)
 [0,0.00639126)
 [0,0.00648864)
 [0,0.00650777)
 [0,0.00661351)
 [0,0.00668711)
 [0,0.0067399)
 [0,0.00680305)
 [0,0.00687087)
 [0,0.0068832)
 [0,0.00689997)
 [0,0.00694296)
 [0,0.00716503)
 [0,0.00717675)
 [0,0.00724844)
 [0,0.00731859)
 [0,0.00733937)
 [0,0.007414)
 [0,0.00742293)
 [0,0.00745426)
 [0,0.00748474)
 [0,0.00748764)
 [0,0.00749829)
 [0,0.00755195)
 [0,0.00755244)
 [0,0.00758208)
 [0,0.00769632)
 [0,0.00772213)
 [0,0.00774142)
 [0,0.00776488)
 [0,0.00787265)
 [0,0.00789681)
 [0,0.00792354)
 [0,0.00806628)
 [0,0.00816315)
 [0,0.00818097)
 [0,0.00828752)
 [0,0.00830516)
 [0,0.00834873)
 [0,0.00835138)
 [0,0.00857093)
 [0,0.00869582)
 [0,0.00881173)
 [0,0.00891551)
 [0,0.00894949)
 [0,0.00897397)
 [0,0.00923261)
 [0,0.00928613)
 [0,0.00929678)
 [0,0.00932333)
 [0,0.00937278)
 [0,0.00937299)
 [0,0.00938164)
 [0,0.00946687)
 [0,0.00949562)
 [0,0.00949743)
 [0,0.00956001)
 [0,0.00958576)
 [0,0.00967028)
 [0,0.00967408)
 [0,0.00972237)
 [0,0.00974825)
 [0,0.00983019)
 [0,0.00983552)
 [0,0.00988413)
 [0,0.00988441)
 [0,0.00989562)
 [0,0.00990853)
 [0,0.00991391)
 [0,0.00994054)
 [0,0.00994207)
 [0,0.0100281)
 [0,0.0102752)
 [0,0.0103002)
 [0,0.0104064)
 [0,0.0104119)
 [0,0.0104502)
 [0,0.0105453)
 [0,0.0105758)
 [0,0.0105905)
 [0,0.0106122)
 [0,0.010632)
 [0,0.0106823)
 [0,0.0107002)
 [0,0.01086)
 [0,0.0108877)
 [0,0.0110064)
 [0,0.0110258)
 [0,0.0110792)
 [0,0.0111327)
 [0,0.0111694)
 [0,0.0111795)
 [0,0.0112948)
 [0,0.011318)
 [0,0.0113431)
 [0,0.0113564)
 [0,0.0114155)
 [0,0.0114517)
 [0,0.0114754)
 [0,0.0115223)
 [0,0.0115333)
 [0,0.0115667)
 [0,0.0115979)
 [0,0.0116218)
 [0,0.01169)
 [0,0.0117215)
 [0,0.0118401)
 [0,0.0118482)
 [0,0.0118534)
 [0,0.0119853)
 [0,0.0120322)
 [0,0.0120912)
 [0,0.0121496)
 [0,0.0121565)
 [0,0.012165)
 [0,0.0122122)
 [0,0.0123109)
 [0,0.0123689)
 [0,0.0124417)
 [0,0.0124457)
 [0,0.0124903)
 [0,0.0125282)
 [0,0.0125789)
 [0,0.0126532)
 [0,0.0127006)
 [0,0.0127378)
 [0,0.012758)
 [0,0.0128071)
 [0,0.0128243)
 [0,0.0128254)
 [0,0.0128387)
 [0,0.0128708)
 [0,0.0128878)
 [0,0.0129382)
 [0,0.0129492)
 [0,0.0129618)
 [0,0.0129831)
 [0,0.0129929)
 [0,0.013093)
 [0,0.0131096)
 [0,0.0131264)
 [0,0.0131434)
 [0,0.0131566)
 [0,0.0131599)
 [0,0.0131742)
 [0,0.0132177)
 [0,0.0132317)
 [0,0.0133279)
 [0,0.0133663)
 [0,0.0133714)
 [0,0.0134308)
 [0,0.0134518)
 [0,0.0134919)
 [0,0.013504)
 [0,0.0135375)
 [0,0.0135578)
 [0,0.0135642)
 [0,0.0135988)
 [0,0.0136098)
 [0,0.0136229)
 [0,0.013636)
 [0,0.013691)
 [0,0.0137041)
 [0,0.0137049)
 [0,0.013816)
 [0,0.0138243)
 [0,0.0138345)
 [0,0.0138943)
 [0,0.0139301)
 [0,0.0139332)
 [0,0.0139509)
 [0,0.0139581)
 [0,0.0139582)
 [0,0.0139665)
 [0,0.0139688)
 [0,0.0139724)
 [0,0.0139911)
 [0,0.0140192)
 [0,0.0140511)
 [0,0.0140928)
 [0,0.014209)
 [0,0.0142315)
 [0,0.0142639)
 [0,0.0143231)
 [0,0.0143614)
 [0,0.0143826)
 [0,0.0143925)
 [0,0.0144104)
 [0,0.0144424)
 [0,0.0144489)
 [0,0.0144647)
 [0,0.0144798)
 [0,0.0144811)
 [0,0.0145574)
 [0,0.0146639)
 [0,0.014728)
 [0,0.0147295)
 [0,0.0147348)
 [0,0.0147354)
 [0,0.0147599)
 [0,0.014783)
 [0,0.014787)
 [0,0.0148491)
 [0,0.0148507)
 [0,0.014856)
 [0,0.0148899)
 [0,0.0149461)
 [0,0.0149479)
 [0,0.014977)
 [0,0.0149789)
 [0,0.0149799)
 [0,0.0149826)
 [0,0.0150135)
 [0,0.015016)
 [0,0.0150479)
 [0,0.0150627)
 [0,0.0153106)
 [0,0.0153128)
 [0,0.0153148)
 [0,0.0153395)
 [0,0.0153692)
 [0,0.0153821)
 [0,0.0154301)
 [0,0.0154693)
 [0,0.0154696)
 [0,0.0154776)
 [0,0.0154812)
 [0,0.0154911)
 [0,0.0155021)
 [0,0.015524)
 [0,0.0155478)
 [0,0.0156416)
 [0,0.0157564)
 [0,0.0157861)
 [0,0.0157991)
 [0,0.0158096)
 [0,0.0158102)
 [0,0.0158549)
 [0,0.0159003)
 [0,0.0159389)
 [0,0.0159607)
 [0,0.0159726)
 [0,0.0159897)
 [0,0.0159985)
 [0,0.0160007)
 [0,0.0160413)
 [0,0.0160599)
 [0,0.0160773)
 [0,0.016141)
 [0,0.0161415)
 [0,0.0161539)
 [0,0.0161897)
 [0,0.0162058)
 [0,0.0162568)
 [0,0.0162608)
 [0,0.0162654)
 [0,0.0162694)
 [0,0.0162783)
 [0,0.0163156)
 [0,0.0163177)
 [0,0.0163248)
 [0,0.0163317)
 [0,0.0163384)
 [0,0.0163686)
 [0,0.0163761)
 [0,0.0163875)
 [0,0.0164295)
 [0,0.0164504)
 [0,0.0164685)
 [0,0.01651)
 [0,0.0165304)
 [0,0.0165353)
 [0,0.0165564)
 [0,0.0165785)
 [0,0.0165969)
 [0,0.0166128)
 [0,0.0166329)
 [0,0.016634)
 [0,0.016638)
 [0,0.0166644)
 [0,0.0167954)
 [0,0.0168396)
 [0,0.0168492)
 [0,0.0168548)
 [0,0.0168893)
 [0,0.0169377)
 [0,0.0169429)
 [0,0.0169792)
 [0,0.0170014)
 [0,0.0170438)
 [0,0.0171269)
 [0,0.0171496)
 [0,0.017158)
 [0,0.0171814)
 [0,0.0171964)
 [0,0.0172107)
 [0,0.0172474)
 [0,0.0173261)
 [0,0.0173291)
 [0,0.0173849)
 [0,0.0174105)
 [0,0.0174121)
 [0,0.0174587)
 [0,0.0174951)
 [0,0.0175197)
 [0,0.0175716)
 [0,0.0175881)
 [0,0.0175995)
 [0,0.0176106)
 [0,0.0176172)
 [0,0.0176437)
 [0,0.0176721)
 [0,0.0176827)
 [0,0.0176933)
 [0,0.0177509)
 [0,0.0177679)
 [0,0.0177987)
 [0,0.0178011)
 [0,0.0178353)
 [0,0.0178585)
 [0,0.0179009)
 [0,0.0179064)
 [0,0.0179067)
 [0,0.0179408)
 [0,0.0179832)
 [0,0.0179842)
 [0,0.0179846)
 [0,0.0179922)
 [0,0.0180012)
 [0,0.018043)
 [0,0.0180431)
 [0,0.0180621)
 [0,0.0180845)
 [0,0.0181627)
 [0,0.0181677)
 [0,0.0181838)
 [0,0.0182149)
 [0,0.0182989)
 [0,0.0183495)
 [0,0.0184187)
 [0,0.0184305)
 [0,0.0184394)
 [0,0.0184635)
 [0,0.0184856)
 [0,0.0184908)
 [0,0.0185123)
 [0,0.0185173)
 [0,0.0185174)
 [0,0.0185335)
 [0,0.0185452)
 [0,0.0185966)
 [0,0.018599)
 [0,0.0186097)
 [0,0.0186137)
 [0,0.0186184)
 [0,0.0186575)
 [0,0.0186716)
 [0,0.01868)
 [0,0.0186984)
 [0,0.0187239)
 [0,0.018746)
 [0,0.0187531)
 [0,0.0187826)
 [0,0.018805)
 [0,0.0188182)
 [0,0.0188267)
 [0,0.018829)
 [0,0.0189016)
 [0,0.0189176)
 [0,0.0189239)
 [0,0.0189816)
 [0,0.018994)
 [0,0.0190304)
 [0,0.0190399)
 [0,0.0190562)
 [0,0.0190697)
 [0,0.0190703)
 [0,0.0190809)
 [0,0.0190864)
 [0,0.0190926)
 [0,0.0191104)
 [0,0.0191107)
 [0,0.0191532)
 [0,0.0191534)
 [0,0.0191689)
 [0,0.0192065)
 [0,0.019209)
 [0,0.0192196)
 [0,0.0192231)
 [0,0.0192232)
 [0,0.0192429)
 [0,0.0192923)
 [0,0.019313)
 [0,0.019318)
 [0,0.0193249)
 [0,0.019334)
 [0,0.0193549)
 [0,0.0194115)
 [0,0.0194148)
 [0,0.019417)
 [0,0.0194944)
 [0,0.0195205)
 [0,0.0195271)
 [0,0.0195375)
 [0,0.0195417)
 [0,0.0195854)
 [0,0.0196078)
